-41.44 0.0000
31.79 0.0000
34.71 16.8642
74.78 0.0000
134.98 0.0000
300.96 812.9944
327.10 2.7782
361.26 0.0000
364.59 9.4201
463.47 22653.3174
466.14 0.0000
486.33 0.0000
532.98 0.0000
584.45 0.2909
607.11 113.9035
615.90 0.0000
698.36 25.0279
771.68 0.0000
776.45 0.0000
781.09 2.7905
831.01 0.0000
846.37 0.0287
854.02 134.6955
900.03 0.0000
901.29 235.9599
1002.68 0.0000
1023.51 24262.3132
1100.32 0.0000
1150.61 0.0000
1188.57 4.9772
1229.46 0.0000
1237.80 1257514.0382
1248.83 608199.4745
1264.23 0.0000
1305.84 13.6835
1334.66 0.0000
1346.37 112375.6981
1389.13 478.0897
1395.26 0.0000
1470.71 714.5077
1546.41 0.0000
1572.29 19259.6234
1581.57 0.0000
1628.33 3389943.4163
3194.81 283.9125
3195.10 0.0000
3230.92 0.0000
3230.98 4590.8116
