#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.68000000E-01      0.52025426E-03      0.20028583E-03      0.20303029E-03      0.11693813E-03
      0.69000000E-01      0.52975631E-03      0.20398010E-03      0.20677235E-03      0.11900385E-03
      0.70000000E-01      0.53932203E-03      0.20770029E-03      0.21054059E-03      0.12108115E-03
      0.71000000E-01      0.54895193E-03      0.21144662E-03      0.21433522E-03      0.12317009E-03
      0.72000000E-01      0.55864652E-03      0.21521931E-03      0.21815645E-03      0.12527076E-03
      0.73000000E-01      0.56840630E-03      0.21901857E-03      0.22200450E-03      0.12738323E-03
      0.74000000E-01      0.57823180E-03      0.22284463E-03      0.22587959E-03      0.12950758E-03
      0.75000000E-01      0.58812354E-03      0.22669769E-03      0.22978195E-03      0.13164389E-03
      0.76000000E-01      0.59808203E-03      0.23057799E-03      0.23371180E-03      0.13379223E-03
      0.77000000E-01      0.60810782E-03      0.23448576E-03      0.23766937E-03      0.13595269E-03
      0.78000000E-01      0.61820145E-03      0.23842121E-03      0.24165489E-03      0.13812534E-03
      0.79000000E-01      0.62836344E-03      0.24238458E-03      0.24566859E-03      0.14031027E-03
      0.80000000E-01      0.63859436E-03      0.24637611E-03      0.24971070E-03      0.14250755E-03
      0.81000000E-01      0.64889475E-03      0.25039602E-03      0.25378146E-03      0.14471727E-03
      0.82000000E-01      0.65926518E-03      0.25444456E-03      0.25788111E-03      0.14693950E-03
      0.83000000E-01      0.66970620E-03      0.25852196E-03      0.26200989E-03      0.14917434E-03
      0.84000000E-01      0.68021838E-03      0.26262847E-03      0.26616804E-03      0.15142187E-03
      0.85000000E-01      0.69080231E-03      0.26676433E-03      0.27035581E-03      0.15368216E-03
      0.86000000E-01      0.70145855E-03      0.27092979E-03      0.27457346E-03      0.15595531E-03
      0.87000000E-01      0.71218770E-03      0.27512509E-03      0.27882122E-03      0.15824139E-03
      0.88000000E-01      0.72299035E-03      0.27935050E-03      0.28309935E-03      0.16054051E-03
      0.89000000E-01      0.73386710E-03      0.28360625E-03      0.28740811E-03      0.16285273E-03
