#  Energy(Ry)          total             X             Y             Z
#  Broadening is:       0.0150000     Ry
      0.68000000E-01      0.44857376E-02      0.20237352E-02      0.20094997E-02      0.45250268E-03
      0.69000000E-01      0.45725839E-02      0.20629149E-02      0.20484146E-02      0.46125427E-03
      0.70000000E-01      0.46601818E-02      0.21024337E-02      0.20876667E-02      0.47008142E-03
      0.71000000E-01      0.47485389E-02      0.21422948E-02      0.21272592E-02      0.47898489E-03
      0.72000000E-01      0.48376631E-02      0.21825020E-02      0.21671957E-02      0.48796547E-03
      0.73000000E-01      0.49275622E-02      0.22230585E-02      0.22074797E-02      0.49702396E-03
      0.74000000E-01      0.50182440E-02      0.22639682E-02      0.22481147E-02      0.50616115E-03
      0.75000000E-01      0.51097167E-02      0.23052345E-02      0.22891044E-02      0.51537785E-03
      0.76000000E-01      0.52019884E-02      0.23468611E-02      0.23304524E-02      0.52467490E-03
      0.77000000E-01      0.52950672E-02      0.23888517E-02      0.23721623E-02      0.53405312E-03
      0.78000000E-01      0.53889615E-02      0.24312102E-02      0.24142380E-02      0.54351336E-03
      0.79000000E-01      0.54836799E-02      0.24739402E-02      0.24566832E-02      0.55305646E-03
      0.80000000E-01      0.55792307E-02      0.25170457E-02      0.24995017E-02      0.56268330E-03
      0.81000000E-01      0.56756227E-02      0.25605305E-02      0.25426974E-02      0.57239476E-03
      0.82000000E-01      0.57728646E-02      0.26043986E-02      0.25862743E-02      0.58219170E-03
      0.83000000E-01      0.58709653E-02      0.26486540E-02      0.26302362E-02      0.59207505E-03
      0.84000000E-01      0.59699337E-02      0.26933007E-02      0.26745873E-02      0.60204569E-03
      0.85000000E-01      0.60697790E-02      0.27383428E-02      0.27193317E-02      0.61210457E-03
      0.86000000E-01      0.61705104E-02      0.27837844E-02      0.27644733E-02      0.62225260E-03
      0.87000000E-01      0.62721371E-02      0.28296299E-02      0.28100165E-02      0.63249073E-03
      0.88000000E-01      0.63746687E-02      0.28758833E-02      0.28559654E-02      0.64281993E-03
      0.89000000E-01      0.64781147E-02      0.29225491E-02      0.29023244E-02      0.65324115E-03
      0.90000000E-01      0.65824847E-02      0.29696315E-02      0.29490978E-02      0.66375539E-03
      0.91000000E-01      0.66877886E-02      0.30171351E-02      0.29962899E-02      0.67436363E-03
      0.92000000E-01      0.67940364E-02      0.30650642E-02      0.30439053E-02      0.68506689E-03
      0.93000000E-01      0.69012380E-02      0.31134234E-02      0.30919484E-02      0.69586618E-03
      0.94000000E-01      0.70094037E-02      0.31622174E-02      0.31404238E-02      0.70676254E-03
      0.95000000E-01      0.71185438E-02      0.32114506E-02      0.31893362E-02      0.71775701E-03
      0.96000000E-01      0.72286687E-02      0.32611279E-02      0.32386901E-02      0.72885066E-03
      0.97000000E-01      0.73397891E-02      0.33112541E-02      0.32884905E-02      0.74004457E-03
      0.98000000E-01      0.74519156E-02      0.33618338E-02      0.33387420E-02      0.75133982E-03
      0.99000000E-01      0.75650591E-02      0.34128721E-02      0.33894495E-02      0.76273751E-03
      0.10000000E+00      0.76792307E-02      0.34643739E-02      0.34406180E-02      0.77423876E-03
      0.10100000E+00      0.77944415E-02      0.35163443E-02      0.34922526E-02      0.78584472E-03
      0.10200000E+00      0.79107028E-02      0.35687882E-02      0.35443581E-02      0.79755652E-03
      0.10300000E+00      0.80280260E-02      0.36217109E-02      0.35969398E-02      0.80937533E-03
      0.10400000E+00      0.81464228E-02      0.36751175E-02      0.36500029E-02      0.82130233E-03
      0.10500000E+00      0.82659048E-02      0.37290135E-02      0.37035526E-02      0.83333871E-03
      0.10600000E+00      0.83864840E-02      0.37834040E-02      0.37575943E-02      0.84548569E-03
      0.10700000E+00      0.85081725E-02      0.38382946E-02      0.38121334E-02      0.85774449E-03
      0.10800000E+00      0.86309825E-02      0.38936908E-02      0.38671753E-02      0.87011636E-03
      0.10900000E+00      0.87549264E-02      0.39495981E-02      0.39227257E-02      0.88260255E-03
      0.11000000E+00      0.88800167E-02      0.40060223E-02      0.39787900E-02      0.89520436E-03
      0.11100000E+00      0.90062661E-02      0.40629689E-02      0.40353741E-02      0.90792306E-03
      0.11200000E+00      0.91336876E-02      0.41204438E-02      0.40924838E-02      0.92075998E-03
      0.11300000E+00      0.92622942E-02      0.41784530E-02      0.41501247E-02      0.93371645E-03
      0.11400000E+00      0.93920991E-02      0.42370023E-02      0.42083030E-02      0.94679381E-03
      0.11500000E+00      0.95231158E-02      0.42960978E-02      0.42670246E-02      0.95999344E-03
      0.11600000E+00      0.96553579E-02      0.43557456E-02      0.43262956E-02      0.97331672E-03
      0.11700000E+00      0.97888391E-02      0.44159520E-02      0.43861221E-02      0.98676506E-03
      0.11800000E+00      0.99235735E-02      0.44767231E-02      0.44465105E-02      0.10003399E-02
      0.11900000E+00      0.10059575E-01      0.45380655E-02      0.45074671E-02      0.10140426E-02
      0.12000000E+00      0.10196859E-01      0.45999855E-02      0.45689983E-02      0.10278748E-02
